"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|ES","Actual Total Load [MW] - BZN|ES"
"01.01.2020 00:00 - 01.01.2020 01:00","23320","22963"
"01.01.2020 01:00 - 01.01.2020 02:00","22592","22162"
"01.01.2020 02:00 - 01.01.2020 03:00","21332","20891"
"01.01.2020 03:00 - 01.01.2020 04:00","20103","19708"
"01.01.2020 04:00 - 01.01.2020 05:00","19371","18960"
"01.01.2020 05:00 - 01.01.2020 06:00","19215","18697"
"01.01.2020 06:00 - 01.01.2020 07:00","19483","18933"
"01.01.2020 07:00 - 01.01.2020 08:00","19956","19326"
"01.01.2020 08:00 - 01.01.2020 09:00","19824","19259"
"01.01.2020 09:00 - 01.01.2020 10:00","19830","20008"
"01.01.2020 10:00 - 01.01.2020 11:00","21115","21791"
"01.01.2020 11:00 - 01.01.2020 12:00","22392","23172"
"01.01.2020 12:00 - 01.01.2020 13:00","23063","23768"
"01.01.2020 13:00 - 01.01.2020 14:00","23941","24322"
"01.01.2020 14:00 - 01.01.2020 15:00","24088","24285"
"01.01.2020 15:00 - 01.01.2020 16:00","23077","23049"
"01.01.2020 16:00 - 01.01.2020 17:00","22493","22610"
"01.01.2020 17:00 - 01.01.2020 18:00","22990","23095"
"01.01.2020 18:00 - 01.01.2020 19:00","25260","25336"
"01.01.2020 19:00 - 01.01.2020 20:00","26317","26609"
"01.01.2020 20:00 - 01.01.2020 21:00","27446","27554"
"01.01.2020 21:00 - 01.01.2020 22:00","27675","27858"
"01.01.2020 22:00 - 01.01.2020 23:00","26984","27007"
"01.01.2020 23:00 - 02.01.2020 00:00","24596","24776"
"02.01.2020 00:00 - 02.01.2020 01:00","22296","22419"
"02.01.2020 01:00 - 02.01.2020 02:00","20452","20561"
"02.01.2020 02:00 - 02.01.2020 03:00","19273","19370"
"02.01.2020 03:00 - 02.01.2020 04:00","18822","18788"
"02.01.2020 04:00 - 02.01.2020 05:00","18822","18836"
"02.01.2020 05:00 - 02.01.2020 06:00","19760","19626"
"02.01.2020 06:00 - 02.01.2020 07:00","22708","22245"
"02.01.2020 07:00 - 02.01.2020 08:00","26468","25840"
"02.01.2020 08:00 - 02.01.2020 09:00","29779","29000"
"02.01.2020 09:00 - 02.01.2020 10:00","32067","31699"
